location,date,sample,density,quantity
emme_biberist_jennim,2017-06-04,3.0,3.333,50.0
emme_biberist_jennim,2017-07-04,4.0,1.467,22.0
emme_biberist_jennim,2017-08-07,5.0,1.933,29.0
emme_biberist_jennim,2017-09-08,6.0,1.8,27.0
emme_biberist_jennim,2017-10-18,7.0,1.333,20.0
emme_biberist_jennim,2017-11-16,8.0,0.8,12.0
emme_biberist_jennim,2017-12-14,9.0,0.6,9.0
emme_biberist_jennim,2018-01-11,10.0,0.933,14.0
emme_biberist_jennim,2018-02-02,11.0,1.0,15.0
emme_luterbach_huggenbergerk,2017-04-10,1.0,0.42,68.0
emme_luterbach_huggenbergerk,2017-05-11,2.0,0.074,12.0
emme_luterbach_huggenbergerk,2017-06-28,3.0,0.512,83.0
emme_luterbach_huggenbergerk,2017-07-29,4.0,0.074,12.0
emme_luterbach_huggenbergerk,2017-08-30,5.0,0.21,34.0
emme_luterbach_huggenbergerk,2017-09-30,6.0,0.123,20.0
emme_luterbach_huggenbergerk,2017-10-30,7.0,0.006,1.0
Emme_Utzenstorf_Grüttert,2017-04-13,1.0,1.222,11.0
Emme_Utzenstorf_Grüttert,2017-05-02,2.0,0.444,4.0
Emme_Utzenstorf_Grüttert,2017-07-21,3.0,0.667,6.0
Emme_Utzenstorf_Grüttert,2017-08-30,4.0,0.556,5.0
Emme_Utzenstorf_Grüttert,2017-11-30,5.0,0.222,2.0
Emme_Utzenstorf_Grüttert,2017-12-31,6.0,0.0,0.0
Emme_Utzenstorf_Grüttert,2018-01-30,7.0,0.444,4.0
Emme_Utzenstorf_Grüttert,2018-02-27,8.0,0.333,3.0
glatt_oerlikon_covosN,2017-05-21,1.0,2.333,14.0
glatt_oerlikon_covosN,2017-07-09,2.0,1.667,10.0
glatt_oerlikon_covosN,2017-08-30,3.0,0.167,1.0
glatt_oerlikon_covosN,2017-10-15,4.0,2.167,13.0
glatt_oerlikon_covosN,2018-01-21,5.0,1.833,11.0
glatt_oerlikon_covosN,2018-02-25,6.0,1.833,11.0
goldach_goldach_schlachterj,2017-10-29,1.0,0.421,8.0
goldach_goldach_schlachterj,2017-11-30,2.0,0.158,3.0
goldach_goldach_schlachterj,2017-12-29,3.0,0.316,6.0
greifensee_fällanden_meistery,2017-04-05,1.0,2.368,135.0
greifensee_fällanden_meistery,2017-05-08,2.0,2.018,115.0
greifensee_fällanden_meistery,2017-06-06,3.0,2.737,156.0
greifensee_fällanden_meistery,2017-07-05,4.0,1.702,97.0
greifensee_fällanden_meistery,2017-08-21,5.0,1.193,68.0
greifensee_fällanden_simmenc,2017-04-29,1.0,1.63,220.0
greifensee_greifensee_simmenc,2017-04-30,1.0,7.208,382.0
greifensee_greifensee_simmenc,2017-05-30,2.0,37.981,2013.0
greifensee_greifensee_simmenc,2017-06-29,3.0,15.189,805.0
greifensee_greifensee_simmenc,2017-08-02,4.0,16.491,874.0
greifensee_greifensee_simmenc,2017-10-05,5.0,7.377,391.0
greifensee_greifensee_simmenc,2018-01-05,6.0,5.321,282.0
