,Date,Location,medium,Samples,Sampling_Notes,Water_temp,Plating_notes,Temp_incubation,P1_qty_sample,P1_fluo_halo_colonies,Plate_one_48h_image,P1_48h_big_blue,P1_48h_med_blue,P1_48h_green,P1_48h_turq,P1_48h_pink,P1_48h_other,Comments_p1_48h,P2_qty_sample,P2_fluo_halo_colonies,Plate_two_48h_image,P2_48h_big_blue,P2_48h_med_blue,P2_48h_green,P2_48h_turq,P2_48h_pink,P2_48h_other,Comments_p2_48h,P3_qty_sample,P3_fluo_halo_colonies,Plate_three_48h_image,P3_48h_big_blue,P3_48h_med_blue,P3_48h_green,P3_48h_turq,P3_48h_pink,P3_48h_other,Comments_p3_48h
33,2017-07-17,SVT,easy_gel,3,No comments,24,No comments,37,4.0,0,SVT1-19_26_35.jpg,0.0,1.0,0.0,0.0,1.0,4.0,No comments,4,0.0,SVT2-19_31_25.jpg,0.0,0.0,0.0,1.0,0.0,5.0,No comments,4.0,1.0,SVT3-19_34_55.jpg,1.0,3.0,0.0,0.0,8.0,12.0,No comments
34,2017-07-17,MRD,easy_gel,3,No comments,25,No comments,37,4.0,0,MRD1-18_38_11.jpg,0.0,5.0,0.0,0.0,6.0,31.0,No comments,2,0.0,MRD2-18_39_27.jpg,0.0,1.0,0.0,0.0,0.0,0.0,No comments,2.0,1.0,MRD3-18_41_19.jpg,0.0,0.0,0.0,0.0,0.0,0.0,TMTC
35,2017-07-17,Echandens,easy_gel,1,No comments,18,No comments,37,0.5,0,Venoges-20_57_29.jpg,14.0,44.0,3.0,0.0,7.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
36,2017-07-24,Echandens,unil_kitchen,1,No comments,18,No comments,37,0.5,0,Venoges-13_54_57.JPG,0.0,0.0,0.0,0.0,0.0,0.0,TMTC,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
37,2017-07-24,SVT,micrology_card,2,No comments,19,No comments,37,1.0,0,SVT1-22_44_9.JPG,0.0,19.0,0.0,0.0,7.0,0.0,No comments,1,0.0,SVT2-22_44_41.JPG,0.0,12.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
39,2017-07-24,VNX,micrology_card,1,No comments,21,No comments,37,1.0,0,VNX1-13_59_11.JPG,0.0,28.0,0.0,0.0,25.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
40,2017-07-24,SVT,levine,2,No comments,19,No comments,37,0.5,0,SVT1-22_53_48.JPG,0.0,0.0,0.0,0.0,0.0,2.0,No comments,0.5,0.0,SVT2-22_53_55.JPG,0.0,0.0,0.0,0.0,1.0,1.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
41,2017-07-24,Hackuarium tap,unil_kitchen,1,No comments,18,No comments,37,0.5,0,Tap-13_49_48.JPG,0.0,0.0,0.0,0.0,0.0,31.0,small colonies,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
42,2017-07-24,SVT,easy_gel,3,No comments,19,No comments,37,4.0,0,SVT1-13_10_25.JPG,0.0,1.0,0.0,0.0,10.0,0.0,No comments,4,1.0,SVT2-13_11_46.JPG,1.0,1.0,0.0,0.0,5.0,4.0,No comments,4.0,0.0,SVT3-13_12_42.JPG,0.0,7.0,0.0,0.0,0.0,50.0,No comments
43,2017-07-24,SVT,unil_kitchen,2,No comments,19,No comments,37,0.5,0,SVT1-13_19_41.JPG,0.0,0.0,0.0,0.0,0.0,71.0,No comments,0.5,0.0,SVT2-13_21_27.JPG,0.0,0.0,0.0,0.0,0.0,28.0,No comments,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
44,2017-07-24,VNX,easy_gel,3,No comments,21,No comments,37,4.0,0,VNX1-12_47_56.JPG,0.0,2.0,0.0,0.0,4.0,9.0,No comments,4,0.0,VNX2-12_49_12.JPG,0.0,1.0,0.0,0.0,3.0,12.0,No comments,4.0,0.0,VNX3-12_50_23.JPG,0.0,3.0,0.0,0.0,10.0,15.0,No comments
45,2017-07-24,MRD,easy_gel,3,"Waves at sight, sampling not effective",0,No comments,37,4.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
46,2017-07-24,VNX,levine,1,No comments,21,No comments,37,0.5,0,VNX1-22_59_3.JPG,0.0,0.0,0.0,0.0,3.0,10.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
47,2017-07-24,VNX,unil_kitchen,1,No comments,21,No comments,37,0.5,0,VNX1-13_28_27.JPG,0.0,0.0,0.0,0.0,0.0,80.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
48,2017-07-24,Echandens,levine,1,No comments,18,No comments,37,0.5,0,Venoges-23_2_6.JPG,0.0,0.0,0.0,0.0,0.0,0.0,TMTC,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
49,2017-07-31,Echandens,easy_gel,1,No comments,18,No comments,37,0.5,45,Venoges-22_1_54.JPG,0.0,0.0,0.0,0.0,0.0,0.0,TMTC,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
50,2017-07-31,SVT,easy_gel,3,No comments,22,No comments,37,4.0,1,SVT1-21_29_46.JPG,1.0,0.0,0.0,0.0,2.0,0.0,No comments,4,0.0,SVT2-21_29_56.JPG,0.0,2.0,0.0,0.0,0.0,0.0,No comments,4.0,1.0,SVT3-21_30_24.JPG,1.0,39.0,0.0,0.0,3.0,0.0,No comments
51,2017-07-31,VNX,easy_gel,3,No comments,22,No comments,37,4.0,2,VNX1-21_45_32.JPG,2.0,5.0,0.0,0.0,5.0,70.0,No comments,4,0.0,VNX2-21_45_40.JPG,0.0,0.0,0.0,0.0,3.0,1.0,No comments,4.0,0.0,VNX3-21_45_52.JPG,0.0,5.0,0.0,0.0,2.0,0.0,No comments
52,2017-07-31,MRD,easy_gel,3,No comments,22,No comments,37,4.0,1,MRD1-22_14_32.JPG,2.0,8.0,0.0,0.0,5.0,5.0,No comments,4,1.0,MRD2-22_14_39.JPG,1.0,6.0,0.0,0.0,3.0,8.0,No comments,4.0,2.0,MRD3-22_14_47.JPG,2.0,8.0,0.0,0.0,6.0,8.0,No comments
53,2017-07-31,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4.0,0,Tap-22_22_17.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
54,2017-07-03,MRD,levine,1,added oct,22,No comments,37,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2017-07-03,MRD,unil_kitchen,1,added oct,22,No comments,37,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2017-07-03,SVT,levine,1,added oct,22,No comments,37,0.5,0,SVT1-22_53_48.JPG,0.0,0.0,0.0,0.0,0.0,2.0,No comments,0.5,0.0,SVT2-22_53_55.JPG,0.0,0.0,0.0,0.0,1.0,1.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
57,2017-07-03,SVT,unil_kitchen,1,added oct,22,No comments,37,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2017-07-24,Echandens,easy_gel,1,added oct,18,No comments,37,0.5,9,Venoges.JPG,9.0,25.0,0.0,3.0,1.0,4.0,1 yellow & 3 whites other,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
59,2017-07-10,SVT,micrology_card,1,added oct,24,No comments,37,1.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,no count,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
60,2017-07-10,MRD,micrology_card,1,added oct,24,No comments,37,1.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,no count,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
61,2017-07-10,VNX,micrology_card,1,added oct,24,No comments,37,1.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,no count,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
62,2017-06-26,Echandens,unil_kitchen,1,No comments,18,"moved unil kitchen data here, out of plate 2 slot",37,0.5,0,none,0.0,0.0,0.0,0.0,0.0,0.0,picture venoges48NAplate.JPG with TMTC 48h,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
63,2017-06-26,Hackuarium tap,unil_kitchen,1,No comments,18," Plate one non-selective ""UNIL Kitchen""",37,0.5,0,none,0.0,0.0,0.0,0.0,0.0,0.0," Non selective ""UNIL Kitchen""",0.5,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
