,date,density,location_id,project_id,quantity,sample
113,2017-05-28,3.6786,Birs_basel_läderachs,SLR,103,2.0
114,2017-06-30,2.3929,Birs_basel_läderachs,SLR,67,3.0
115,2017-07-31,3.3214,Birs_basel_läderachs,SLR,93,4.0
116,2017-09-30,2.25,Birs_basel_läderachs,SLR,63,5.0
117,2017-12-30,0.7143,Birs_basel_läderachs,SLR,20,6.0
118,2018-02-28,0.5,Birs_basel_läderachs,SLR,14,7.0
119,2018-03-24,1.1071,Birs_basel_läderachs,SLR,31,8.0
120,2017-04-18,4.9444,Birs_Reinach_DiNucciN,SLR,178,1.0
121,2017-05-29,3.8333,Birs_Reinach_DiNucciN,SLR,138,2.0
122,2017-08-25,1.8333,Birs_Reinach_DiNucciN,SLR,66,3.0
123,2017-12-27,2.1111,Birs_Reinach_DiNucciN,SLR,76,4.0
124,2018-01-31,1.9722,Birs_Reinach_DiNucciN,SLR,71,5.0
125,2018-03-29,0.5833,Birs_Reinach_DiNucciN,SLR,21,6.0
126,2017-04-22,7.44,Birsköpfli Rusco,SLR,372,1.0
127,2017-05-21,6.0,Birsköpfli Rusco,SLR,300,2.0
128,2017-06-26,16.06,Birsköpfli Rusco,SLR,803,3.0
129,2017-07-25,6.62,Birsköpfli Rusco,SLR,331,4.0
130,2017-08-29,10.16,Birsköpfli Rusco,SLR,508,5.0
131,2017-10-03,1.14,Birsköpfli Rusco,SLR,57,6.0
132,2017-11-05,0.66,Birsköpfli Rusco,SLR,33,7.0
133,2017-12-03,1.12,Birsköpfli Rusco,SLR,56,8.0
134,2018-02-11,3.56,Birsköpfli Rusco,SLR,178,9.0
135,2018-03-08,1.98,Birsköpfli Rusco,SLR,99,10.0
136,2017-04-05,14.05,bodensee_altenrhein_caluoria,SLR,281,1.0
137,2017-04-05,1.5667,Bodensee_Arbon_MösliS,SLR,47,1.0
138,2017-05-09,0.7,Bodensee_Arbon_MösliS,SLR,21,2.0
139,2017-06-23,1.0667,Bodensee_Arbon_MösliS,SLR,32,3.0
140,2017-08-29,0.6667,Bodensee_Arbon_MösliS,SLR,20,4.0
141,2017-09-27,0.9333,Bodensee_Arbon_MösliS,SLR,28,5.0
142,2017-10-04,0.5,Bodensee_Arbon_MösliS,SLR,15,6.0
143,2017-11-15,1.1333,Bodensee_Arbon_MösliS,SLR,34,7.0
144,2017-12-27,0.5667,Bodensee_Arbon_MösliS,SLR,17,8.0
145,2018-01-31,0.7333,Bodensee_Arbon_MösliS,SLR,22,9.0
146,2018-02-28,0.3667,Bodensee_Arbon_MösliS,SLR,11,10.0
147,2018-03-24,0.3667,Bodensee_Arbon_MösliS,SLR,11,11.0
148,2017-04-30,13.4,bodensee_horn_huberm,SLR,201,1.0
149,2017-04-22,1.3587,Bodensee_Steinach_Dolder_A,SLR,125,1.0
150,2017-05-29,1.7283,Bodensee_Steinach_Dolder_A,SLR,159,2.0
151,2017-06-29,2.0761,Bodensee_Steinach_Dolder_A,SLR,191,3.0
152,2017-07-31,1.5978,Bodensee_Steinach_Dolder_A,SLR,147,4.0
153,2017-08-30,2.8152,Bodensee_Steinach_Dolder_A,SLR,259,5.0
154,2017-09-30,1.5109,Bodensee_Steinach_Dolder_A,SLR,139,6.0
155,2017-10-27,1.25,Bodensee_Steinach_Dolder_A,SLR,115,7.0
156,2017-11-26,1.8804,Bodensee_Steinach_Dolder_A,SLR,173,8.0
157,2017-12-29,1.7174,Bodensee_Steinach_Dolder_A,SLR,158,9.0
158,2018-01-26,1.3696,Bodensee_Steinach_Dolder_A,SLR,126,10.0
159,2018-02-28,2.0435,Bodensee_Steinach_Dolder_A,SLR,188,11.0
160,2018-03-24,3.1304,Bodensee_Steinach_Dolder_A,SLR,288,12.0
161,2017-10-29,0.4375,bodensee_thal_schlachterj_1,SLR,14,1.0
162,2017-11-30,0.9688,bodensee_thal_schlachterj_1,SLR,31,2.0
163,2017-12-29,0.625,bodensee_thal_schlachterj_1,SLR,20,3.0
164,2017-04-04,1.6863,chriesbach_duebendorf_schneidera,SLR,86,1.0
165,2017-05-11,1.5294,chriesbach_duebendorf_schneidera,SLR,78,2.0
166,2017-06-13,0.451,chriesbach_duebendorf_schneidera,SLR,23,3.0
167,2017-07-11,1.1569,chriesbach_duebendorf_schneidera,SLR,59,4.0
168,2017-08-16,0.2549,chriesbach_duebendorf_schneidera,SLR,13,5.0
169,2017-09-19,0.1373,chriesbach_duebendorf_schneidera,SLR,7,6.0
170,2017-10-05,0.3137,chriesbach_duebendorf_schneidera,SLR,16,7.0
171,2017-11-15,0.3922,chriesbach_duebendorf_schneidera,SLR,20,8.0
172,2017-12-06,0.3725,chriesbach_duebendorf_schneidera,SLR,19,9.0
