location,date,length,quantity,density,code
Aare_bern_gerberm,2017-11-17,89,2,0.0225,G59
Aare_bern_gerberm,2017-11-17,89,1,0.0112,G66
Aare_bern_gerberm,2017-11-17,89,3,0.0337,G67
Aare_bern_gerberm,2017-11-17,89,4,0.0449,G96
Aare_bern_gerberm,2017-11-17,89,1,0.0112,G124
Aare_bern_gerberm,2017-11-17,89,3,0.0337,G137
Aare_bern_gerberm,2017-11-17,89,1,0.0112,G142
Aare_bern_gerberm,2017-11-17,89,1,0.0112,G144
Aare_bern_gerberm,2017-11-17,89,34,0.382,G145
Aare_bern_gerberm,2017-11-17,89,2,0.0225,G177
Aare_bern_gerberm,2017-11-17,89,1,0.0112,G198
Aare_bern_gerberm,2017-11-17,89,4,0.0449,G208
Aare_bern_gerberm,2017-12-26,89,2,0.0225,G3
Aare_bern_gerberm,2017-12-26,89,3,0.0337,G4
Aare_bern_gerberm,2017-12-26,89,1,0.0112,G7
Aare_bern_gerberm,2017-12-26,89,1,0.0112,G10
Aare_bern_gerberm,2017-12-26,89,4,0.0449,G27
Aare_bern_gerberm,2017-12-26,89,1,0.0112,G30
Aare_bern_gerberm,2017-12-26,89,4,0.0449,G67
Aare_bern_gerberm,2017-12-26,89,1,0.0112,G82
Aare_bern_gerberm,2017-12-26,89,1,0.0112,G87
Aare_bern_gerberm,2017-12-26,89,2,0.0225,G89
Aare_bern_gerberm,2017-12-26,89,7,0.0787,G96
Aare_bern_gerberm,2017-12-26,89,1,0.0112,G144
Aare_bern_gerberm,2017-12-26,89,46,0.5169,G145
Aare_bern_gerberm,2017-12-26,89,1,0.0112,G175
Aare_bern_gerberm,2017-12-26,89,2,0.0225,G177
Aare_bern_gerberm,2017-12-26,89,2,0.0225,G191
Aare_bern_gerberm,2017-12-26,89,1,0.0112,G198
Aare_bern_gerberm,2017-12-26,89,5,0.0562,G204
Aare_bern_gerberm,2017-12-26,89,11,0.1236,G208
Aare_bern_gerberm,2018-01-27,89,5,0.0562,G3
Aare_bern_gerberm,2018-01-27,89,8,0.0899,G4
Aare_bern_gerberm,2018-01-27,89,2,0.0225,G25
Aare_bern_gerberm,2018-01-27,89,7,0.0787,G30
Aare_bern_gerberm,2018-01-27,89,1,0.0112,G32
Aare_bern_gerberm,2018-01-27,89,1,0.0112,G33
Aare_bern_gerberm,2018-01-27,89,2,0.0225,G34
Aare_bern_gerberm,2018-01-27,89,5,0.0562,G50
Aare_bern_gerberm,2018-01-27,89,1,0.0112,G59
Aare_bern_gerberm,2018-01-27,89,2,0.0225,G66
Aare_bern_gerberm,2018-01-27,89,13,0.1461,G67
Aare_bern_gerberm,2018-01-27,89,1,0.0112,G71
Aare_bern_gerberm,2018-01-27,89,6,0.0674,G79
Aare_bern_gerberm,2018-01-27,89,2,0.0225,G80
Aare_bern_gerberm,2018-01-27,89,2,0.0225,G87
Aare_bern_gerberm,2018-01-27,89,2,0.0225,G89
Aare_bern_gerberm,2018-01-27,89,2,0.0225,G93
Aare_bern_gerberm,2018-01-27,89,12,0.1348,G96
Aare_bern_gerberm,2018-01-27,89,3,0.0337,G101
Aare_bern_gerberm,2018-01-27,89,7,0.0787,G124
Aare_bern_gerberm,2018-01-27,89,1,0.0112,G128
Aare_bern_gerberm,2018-01-27,89,2,0.0225,G137
