location,date,sample,density,quantity
Bodensee_Arbon_MösliS,2018-01-31,9,0.733,22
Bodensee_Arbon_MösliS,2018-02-28,10,0.367,11
Bodensee_Arbon_MösliS,2018-03-24,11,0.367,11
Bodensee_Steinach_Dolder_A,2017-04-22,1,1.359,125
Bodensee_Steinach_Dolder_A,2017-05-29,2,1.728,159
Bodensee_Steinach_Dolder_A,2017-06-29,3,2.076,191
Bodensee_Steinach_Dolder_A,2017-07-31,4,1.598,147
Bodensee_Steinach_Dolder_A,2017-08-30,5,2.815,259
Bodensee_Steinach_Dolder_A,2017-09-30,6,1.511,139
Bodensee_Steinach_Dolder_A,2017-10-27,7,1.25,115
Bodensee_Steinach_Dolder_A,2017-11-26,8,1.88,173
Bodensee_Steinach_Dolder_A,2017-12-29,9,1.717,158
Bodensee_Steinach_Dolder_A,2018-01-26,10,1.37,126
Bodensee_Steinach_Dolder_A,2018-02-28,11,2.043,188
Bodensee_Steinach_Dolder_A,2018-03-24,12,3.13,288
bodensee_thal_schlachterj_1,2017-10-29,1,0.438,14
bodensee_thal_schlachterj_1,2017-11-30,2,0.969,31
bodensee_thal_schlachterj_1,2017-12-29,3,0.625,20
chriesbach_duebendorf_schneidera,2017-04-04,1,1.686,86
chriesbach_duebendorf_schneidera,2017-05-11,2,1.529,78
chriesbach_duebendorf_schneidera,2017-06-13,3,0.451,23
chriesbach_duebendorf_schneidera,2017-07-11,4,1.157,59
chriesbach_duebendorf_schneidera,2017-08-16,5,0.255,13
chriesbach_duebendorf_schneidera,2017-09-19,6,0.137,7
chriesbach_duebendorf_schneidera,2017-10-05,7,0.314,16
chriesbach_duebendorf_schneidera,2017-11-15,8,0.392,20
chriesbach_duebendorf_schneidera,2017-12-06,9,0.373,19
chriesbach_duebendorf_schneidera,2018-01-08,10,1.51,77
chriesbach_duebendorf_schneidera,2018-02-05,11,1.941,99
chriesbach_duebendorf_schneidera,2018-03-09,12,1.255,64
emme_biberist_jennim,2017-04-28,1,0.533,8
emme_biberist_jennim,2017-05-19,2,0.667,10
emme_biberist_jennim,2017-06-04,3,3.333,50
emme_biberist_jennim,2017-07-04,4,1.467,22
emme_biberist_jennim,2017-08-07,5,1.933,29
emme_biberist_jennim,2017-09-08,6,1.8,27
emme_biberist_jennim,2017-10-18,7,1.333,20
emme_biberist_jennim,2017-11-16,8,0.8,12
emme_biberist_jennim,2017-12-14,9,0.6,9
emme_biberist_jennim,2018-01-11,10,0.933,14
emme_biberist_jennim,2018-02-02,11,1.0,15
emme_biberist_jennim,2018-03-08,12,0.867,13
emme_luterbach_huggenbergerk,2017-04-10,1,0.42,68
emme_luterbach_huggenbergerk,2017-05-11,2,0.074,12
emme_luterbach_huggenbergerk,2017-06-28,3,0.512,83
emme_luterbach_huggenbergerk,2017-07-29,4,0.074,12
emme_luterbach_huggenbergerk,2017-08-30,5,0.21,34
emme_luterbach_huggenbergerk,2017-09-30,6,0.123,20
emme_luterbach_huggenbergerk,2017-10-30,7,0.006,1
Emme_Utzenstorf_Grüttert,2017-04-13,1,1.222,11
Emme_Utzenstorf_Grüttert,2017-05-02,2,0.444,4
Emme_Utzenstorf_Grüttert,2017-07-21,3,0.667,6
Emme_Utzenstorf_Grüttert,2017-08-30,4,0.556,5
Emme_Utzenstorf_Grüttert,2017-11-30,5,0.222,2
Emme_Utzenstorf_Grüttert,2018-01-30,6,0.444,4
Emme_Utzenstorf_Grüttert,2018-02-27,7,0.333,3
Emme_Utzenstorf_Grüttert,2018-03-27,8,0.667,6
glatt_oerlikon_covosN,2017-05-21,1,2.333,14
glatt_oerlikon_covosN,2017-07-09,2,1.667,10
glatt_oerlikon_covosN,2017-08-30,3,0.167,1
glatt_oerlikon_covosN,2017-10-15,4,2.167,13
glatt_oerlikon_covosN,2018-01-21,5,1.833,11
glatt_oerlikon_covosN,2018-02-25,6,1.833,11
glatt_oerlikon_covosN,2018-03-24,7,1.667,10
goldach_goldach_schlachterj,2017-10-29,1,0.421,8
goldach_goldach_schlachterj,2017-11-30,2,0.158,3
goldach_goldach_schlachterj,2017-12-29,3,0.316,6
greifensee_fällanden_meistery,2017-04-05,1,2.368,135
greifensee_fällanden_meistery,2017-05-08,2,2.018,115
greifensee_fällanden_meistery,2017-06-06,3,2.737,156
greifensee_fällanden_meistery,2017-07-05,4,1.702,97
greifensee_fällanden_meistery,2017-08-21,5,1.193,68
greifensee_fällanden_simmenc,2017-04-29,1,1.63,220
greifensee_greifensee_simmenc,2017-04-30,1,7.208,382
