"sihlsee_einsiedeln_schilligerllacherl",47.14139380,8.76035880,"Einsiedeln","8840","l","SLR","Sihlsee"
"Sihl_Adliswil_Oggi_Fort",47.31242170,8.52625490,"Adliswil","8134","r","SLR","Sihl"
"Sihl_Horgen_BucherF",47.27269460,8.55368210,"Horgen","8810","r","SLR","Sihl"
"sihl_leimbach_kruegerm",47.32543610,8.51911950,"Zürich","8041","r","SLR","Sihl"
"Sihl_Menzingen_Kucharska_Magdalena",47.19150120,8.61842140,"Menzingen","6313","r","SLR","Sihl"
"sihl_zuerich_eggerskoehlingera",47.38189810,8.53832790,"Zürich","8005","r","SLR","Sihl"
"Sihl_zuerich_eichenbergerD",47.33958830,8.51669650,"Zürich","8041","r","SLR","Sihl"
"Sihl_Zuerich_ScherfS",47.37314950,8.53236980,"Zürich","8001","r","SLR","Sihl"
"sihl_zürich_himmelhebern",47.34305540,8.51861220,"Zürich","8041","r","SLR","Sihl"
"sitter_gaiserwald_buehlerf",47.42516090,9.34010370,"Sankt Gallen","9000","r","SLR","Sitter"
"Sitter_St.Gallen_JennyA",47.41024240,9.32037600,"Sankt Gallen","9014","r","SLR","Sitter"
"sitter_stgallen_steinbrunnerf ",47.43329170,9.35807470,"Sankt Gallen","9000","r","SLR","Sitter"
"sorne_birse_WWFJura",47.37098680,7.36090990,"Delémont","2800","r","SLR","Birs"
"thunersee_spiez_meierd_1",46.70443680,7.65788240,"Spiez","3646","l","SLR","Thunersee"
"Thur_Schoenenberg_SchaerA",47.52407260,9.19833470,"Kradolf-Schönenberg","9214","r","SLR","Thur"
"thur_schwarzenbach_meiliw",47.44678660,9.06381560,"Wil","9500","r","SLR","Thur"
"Töss_Bauma_KurthE",47.37017570,8.86782490,"Bauma","8494","r","SLR","Töss"
"töss_kollbrunn_bürgid",47.45456980,8.77968000,"Zell","8483","r","SLR","Töss"
"Töss_Winterthur 2",47.47870730,8.70842640,"Winterthur","8406","r","SLR","Töss"
"unterdsee_ermatingen_brunkem",47.67263330,9.08124620,"Ermatingen","8272","l","SLR","Untersee"
"untersee_steckborn_siedlerm",48.49575410,27.07421580,"Selyshche","60216","l","SLR","Untersee"
"urnaesch_urnaesch_meierr",47.32509860,9.29541880,"Hundwil","9107","r","SLR","Urnäsch"
"vierwaldstättersee_weggis_schöberls_1",47.04453210,8.41856890,"Weggis","6353","l","SLR","Quatre cantons"
"vierwaldstättersee_weggis_schöberls_2",47.04395300,8.41730760,"Weggis","6353","l","SLR","Quatre cantons"
"vierwaldstättersee_weggis_schöberls_3",47.02995660,8.41080100,"Weggis","6353","l","SLR","Quatre cantons"
"vorderrhein_disentis_schmidn",46.69827390,8.85783730,"Disentis/Mustér","7180","r","SLR","Vorderrhein"
"Walensee_Walenstadt_WyssE",47.12182820,9.29955170,"Walenstadt","8880","l","SLR","Walensee"
"zuerichsee_maennedorf_vanderkaadene",47.25475400,8.68750380,"Männedorf","8708","l","SLR","Zurichsee"
"zuerichsee_richterswil_benkoem_2",47.21764580,8.69871330,"Richterswil","8805","l","SLR","Zurichsee"
"zuerichsee_staefa_hennm",47.23464310,8.76988140,"Stäfa","8713","l","SLR","Zurichsee"
"zuerichsee_waedenswil_colomboc_1",47.21954680,8.69196110,"Richterswil","8805","l","SLR","Zurichsee"
"zuerichsee_zurich_kullg",47.35395730,8.55047430,"Zürich","8008","l","SLR","Zurichsee"
"ZugerseeCholler_Cham_BlarerM",47.17821570,8.48001280,"Zug","6300","l","SLR","Zugersee"
"zugersee_Immensee_Guedesd",47.10668690,8.47888120,"Meierskappel","6344","l","SLR","Zugersee"
"zulg_steffisburg_schmassmanne",46.77424310,7.62453720,"Steffisburg","3612","r","SLR","Zulg"
"Zürichsee-Feldeggstr-BänningerSand",47.35939220,8.54736820,"Zürich","8008","l","SLR","Zurichsee"
"Zürichsee_Küsnachterhorn_Thirkell-WhiteJ",47.31768490,8.57686020,"Küsnacht","8700","l","SLR","Zurichsee"
"zürichsee_wollishofen_langendorfm",47.34588990,8.53615450,"Zürich","8038","l","SLR","Zurichsee"
